"type","name","label..English..en.","label..Nepali..ne.","hint..English..en.","hint..Nepali..ne.","required","appearance","constraint","relevant","calculation","default","repeat_count","choice_filter","parameters"
"start","start",,,,,,,,,,,,,
"end","end",,,,,,,,,,,,,
"deviceid","deviceid",,,,,,,,,,,,,
"begin_group","initial_info","Initial Information","Initial Information",,,,"field-list",,,,,,,
"select_one interviewer","interviewer","Interviewer","Interviewer","Select your name from the list below.","Select your name from the list below.",,,,,,,,,
"select_one yesno","ivan_present","Is Ivan also present?","Is Ivan also present?",,,,,,,,,,,
"select_one_from_file individual.csv","participant_id","Participant ID","Participant ID","Enter the ID for the person you are interviewing. (NPXXXXX)","Enter the ID for the person you are interviewing. (NPXXXXX)",,"autocomplete minimal",,,,,,,
"text","participant_name","Participant Name (if no ID)","Participant Name (if no ID)","Enter the ID for the person you are interviewing. (NPXXXXX)","Enter the ID for the person you are interviewing. (NPXXXXX)",,,,,,,,,
"image","consent_form","Informed Consent – CLEAR photograph","Informed Consent – CLEAR photograph","Read out the information sheet. Ensure participant has understood. Prompt for questions and answer.
Then ask the participant to sign the participant form and take a CLEAR picture of it.","Read out the information sheet. Ensure participant has understood. Prompt for questions and answer.
Then ask the participant to sign the participant form and take a CLEAR picture of it.",,"new",,,,,,,"max-pixels=1200"
"end_group",,,,,,,,,,,,,,
"note","intro_text_namegen","In our lives, each of us depends on others in various ways, for example, for money or finding work... Now, I'm going to ask you some questions to learn who helps you and who you help. For each question, I want you to think carefully to remember all the people. They could be friends, relatives, young people, old people, men, women, your neighbours, your own family members, or people living far away. First, I want you just to give me the names of the people. Then, we'll come back and you can tell me a bit more about them. It might be that for different questions you think of the same people. But even if this happens, please tell me their names each time.","हाम्रो जीवनमा, विभिन्न तरिका हामी एक अर्कामा निर्भर छौं, जस्तै पैसाको लागि वा काम खोज्नका लागि... अब, म तपाईंलाई केही प्रश्न सोध्न गइरहेको छु। यी प्रश्नहरु सोधेर म  यो बुझ्न चाहन्छु कि तपाईंलाई कसले सहयोग गर्छ र तपाईंले कसलाई सहयोग गर्नुहुन्छ। हरेक प्रश्नको लागि, कृपया ध्यानपूर्वक सोच्नुहोस् र सबै मानिसहरूलाई सम्झने प्रयास गर्नुहोस्। तिनीहरू तपाईंका साथी, आफन्त, युवा, वृद्ध, पुरुष, महिला, छिमेकी, तपाईंका आफ्नै परिवारका सदस्य, वा टाढा बस्ने मानिस हुन सक्छन्। सुरुमा चाँहि, मलाई केवल ती मानिसहरूको नाम मात्र दिनुहोस्। त्यसपछि, हामी फेरि फर्केर आउनेछौं, र तपाईं उनीहरूबारे अलिकति थप बताउनुहोला। यो सम्भव छ कि फरक-फरक प्रश्नहरूका लागि तपाईंले उही व्यक्तिहरूलाई सम्झन सक्नुहुन्छ। तर, यदि यस्तो हुन्छ भने पनि, कृपया हरेक पटक उनीहरूको नाम भन्नुहोस्।",,,,,,,,,,,
